Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Anthony Davis,LAL,OKC,L,37.73,5,9,0.556,0,0,0.0,5,7,0.714,2,10,12,7,1,4,1,2,15,21.2,2024-11-29
Jaden Ivey,DET,IND,W,31.4,8,13,0.615,3,8,0.375,4,4,1.0,1,4,5,6,1,0,3,0,23,21.2,2024-11-29
Deandre Ayton,POR,SAC,W,40.95,11,19,0.579,0,2,0.0,4,6,0.667,2,7,9,2,1,1,1,2,26,21.1,2024-11-29
Deni Avdija,POR,SAC,W,36.67,7,15,0.467,4,9,0.444,2,2,1.0,1,8,9,5,2,1,0,3,20,20.4,2024-11-29
Anfernee Simons,POR,SAC,W,40.7,8,14,0.571,3,8,0.375,2,2,1.0,0,5,5,9,2,0,4,1,21,19.8,2024-11-29
De'Andre Hunter,ATL,CLE,W,27.93,7,12,0.583,4,7,0.571,5,5,1.0,0,5,5,3,0,0,1,1,23,19.6,2024-11-29
Santi Aldama,MEM,NOP,W,27.3,8,9,0.889,3,3,1.0,1,2,0.5,0,6,6,4,0,1,2,2,20,19.0,2024-11-29
Cade Cunningham,DET,IND,W,32.97,10,19,0.526,4,6,0.667,0,0,0.0,0,6,6,11,2,0,6,3,24,19.0,2024-11-29
Jalen Johnson,ATL,CLE,W,34.98,9,14,0.643,2,4,0.5,0,0,0.0,0,9,9,7,1,0,3,2,20,18.6,2024-11-29
James Harden,LAC,MIN,L,36.75,7,20,0.35,3,9,0.333,3,4,0.75,0,6,6,11,5,0,4,1,20,18.5,2024-11-29
Jaren Jackson,MEM,NOP,W,28.28,9,18,0.5,0,5,0.0,5,5,1.0,3,5,8,1,1,2,1,3,23,18.5,2024-11-29
Ivica Zubac,LAC,MIN,L,33.75,8,9,0.889,0,0,0.0,0,0,0.0,4,9,13,1,1,0,1,3,16,17.9,2024-11-29
Tyler Herro,MIA,TOR,W,36.6,8,18,0.444,4,10,0.4,3,3,1.0,1,2,3,4,1,0,1,0,23,17.7,2024-11-29
Zach LaVine,CHI,BOS,L,35.3,11,22,0.5,4,11,0.364,3,3,1.0,0,1,1,1,0,0,0,4,29,17.4,2024-11-29
Kristaps Porziņģis,BOS,CHI,W,25.17,7,11,0.636,2,5,0.4,5,7,0.714,0,8,8,1,0,0,0,3,21,17.2,2024-11-29
Derrick White,BOS,CHI,W,24.03,6,10,0.6,4,8,0.5,0,0,0.0,1,5,6,4,1,0,0,1,16,17.0,2024-11-29
Bam Adebayo,MIA,TOR,W,34.6,6,16,0.375,2,6,0.333,0,1,0.0,2,8,10,10,3,0,1,2,14,16.8,2024-11-29
Shake Milton,BRK,ORL,L,34.37,7,13,0.538,2,4,0.5,6,7,0.857,1,1,2,4,1,0,3,1,22,16.7,2024-11-29
RJ Barrett,TOR,MIA,L,38.82,10,18,0.556,2,4,0.5,3,4,0.75,1,5,6,7,0,0,6,2,25,16.3,2024-11-29
Isaiah Hartenstein,OKC,LAL,W,36.87,4,7,0.571,0,0,0.0,3,4,0.75,3,15,18,5,1,1,2,2,11,16.3,2024-11-29
Yves Missi,NOP,MEM,L,31.42,6,13,0.462,0,0,0.0,4,6,0.667,6,8,14,1,1,3,1,4,16,16.3,2024-11-29
Onyeka Okongwu,ATL,CLE,W,21.7,6,8,0.75,1,2,0.5,2,2,1.0,2,5,7,2,0,0,0,0,15,16.1,2024-11-29
Jalen Duren,DET,IND,W,26.2,5,8,0.625,0,0,0.0,4,7,0.571,2,10,12,2,0,4,1,2,14,16.0,2024-11-29
Pascal Siakam,IND,DET,L,34.65,9,19,0.474,1,6,0.167,2,2,1.0,2,7,9,2,1,0,1,2,21,15.4,2024-11-29
Trae Young,ATL,CLE,W,34.68,7,12,0.583,2,5,0.4,5,5,1.0,0,3,3,11,0,0,7,4,21,15.4,2024-11-29
Dalton Knecht,LAL,OKC,L,33.15,7,17,0.412,6,13,0.462,0,0,0.0,1,5,6,4,0,0,0,2,20,15.1,2024-11-29
Jarace Walker,IND,DET,L,30.85,3,5,0.6,2,4,0.5,2,2,1.0,1,2,3,4,5,0,1,2,10,15.0,2024-11-29
Tyrese Haliburton,IND,DET,L,29.87,8,13,0.615,3,8,0.375,0,0,0.0,0,1,1,5,0,0,2,0,19,14.9,2024-11-29
Karl-Anthony Towns,NYK,CHO,W,39.48,8,16,0.5,2,5,0.4,1,1,1.0,4,8,12,5,1,2,6,4,19,14.5,2024-11-29
Tobias Harris,DET,IND,W,29.78,5,8,0.625,2,5,0.4,4,4,1.0,0,5,5,3,1,1,3,2,16,13.9,2024-11-29
Kevin Porter,LAC,MIN,L,24.45,6,10,0.6,1,2,0.5,4,5,0.8,2,5,7,3,3,0,5,3,17,13.8,2024-11-29
Josh Hart,NYK,CHO,W,41.48,6,12,0.5,1,4,0.25,0,0,0.0,4,8,12,5,2,0,3,3,13,13.5,2024-11-29
Jaime Jaquez,MIA,TOR,W,18.08,6,9,0.667,2,4,0.5,1,2,0.5,1,3,4,3,0,0,1,0,15,13.4,2024-11-29
Dalano Banton,POR,SAC,W,23.28,7,13,0.538,3,6,0.5,0,0,0.0,0,2,2,2,5,0,4,1,17,13.3,2024-11-29
Clint Capela,ATL,CLE,W,25.45,4,7,0.571,0,0,0.0,0,0,0.0,3,10,13,1,2,3,1,1,8,13.2,2024-11-29
Ochai Agbaji,TOR,MIA,L,32.4,5,8,0.625,3,4,0.75,0,0,0.0,1,4,5,3,0,0,0,1,13,13.0,2024-11-29
D'Angelo Russell,LAL,OKC,L,25.5,6,11,0.545,4,9,0.444,1,1,1.0,0,9,9,3,2,0,4,4,17,12.9,2024-11-29
Miles McBride,NYK,CHO,W,26.58,5,9,0.556,2,5,0.4,2,2,1.0,2,3,5,1,0,0,0,0,14,12.7,2024-11-29
Jaden McDaniels,MIN,LAC,W,24.82,4,6,0.667,1,3,0.333,2,2,1.0,2,1,3,5,0,2,2,1,11,12.6,2024-11-29
Josh Green,CHO,NYK,L,29.42,6,12,0.5,3,7,0.429,0,0,0.0,1,0,1,3,2,0,0,4,15,12.2,2024-11-29
Cameron Johnson,BRK,ORL,L,29.47,5,10,0.5,3,5,0.6,1,2,0.5,0,3,3,4,2,1,2,2,14,12.2,2024-11-29
Cody Martin,CHO,NYK,L,21.98,2,7,0.286,2,6,0.333,3,4,0.75,2,5,7,5,1,1,0,1,9,12.2,2024-11-29
Talen Horton-Tucker,CHI,BOS,L,13.62,6,7,0.857,4,4,1.0,0,0,0.0,0,0,0,0,0,0,1,1,16,12.1,2024-11-29
Trey Murphy,NOP,MEM,L,37.87,8,23,0.348,2,8,0.25,3,4,0.75,3,6,9,0,1,1,1,1,21,11.9,2024-11-29
Wendell Carter,ORL,BRK,W,26.27,4,5,0.8,1,1,1.0,3,4,0.75,2,5,7,4,0,1,3,4,12,11.5,2024-11-29
Luguentz Dort,OKC,LAL,W,24.13,5,8,0.625,4,5,0.8,0,0,0.0,2,0,2,2,0,0,0,5,14,11.2,2024-11-29
Nicolas Batum,LAC,MIN,L,24.03,4,7,0.571,4,7,0.571,0,0,0.0,0,2,2,1,1,0,0,0,12,11.0,2024-11-29
Jaylen Wells,MEM,NOP,W,21.87,5,9,0.556,2,4,0.5,1,1,1.0,2,4,6,3,0,0,2,1,13,11.0,2024-11-29
Tristan Da Silva,ORL,BRK,W,19.68,5,9,0.556,3,4,0.75,0,1,0.0,0,1,1,1,2,0,0,1,13,10.9,2024-11-29
Marcus Smart,MEM,NOP,W,25.78,4,11,0.364,3,9,0.333,0,0,0.0,0,4,4,6,2,0,1,1,11,10.9,2024-11-29
Dejounte Murray,NOP,MEM,L,33.25,6,17,0.353,3,6,0.5,6,6,1.0,1,5,6,6,1,0,7,3,21,10.7,2024-11-29
De'Aaron Fox,SAC,POR,L,36.3,8,18,0.444,1,6,0.167,5,7,0.714,2,3,5,5,0,0,5,5,22,10.6,2024-11-29
Jrue Holiday,BOS,CHI,W,35.72,5,11,0.455,1,4,0.25,0,0,0.0,3,5,8,4,1,1,2,2,11,10.6,2024-11-29
Anthony Edwards,MIN,LAC,W,36.02,7,21,0.333,4,9,0.444,3,5,0.6,2,2,4,3,2,0,4,0,21,10.4,2024-11-29
Goga Bitadze,ORL,BRK,W,26.85,2,6,0.333,0,0,0.0,4,4,1.0,3,3,6,3,1,5,2,5,8,10.2,2024-11-29
Mike Conley,MIN,LAC,W,33.07,3,7,0.429,3,5,0.6,4,4,1.0,0,2,2,3,2,0,3,3,13,9.8,2024-11-29
Rui Hachimura,LAL,OKC,L,30.25,4,7,0.571,0,1,0.0,0,0,0.0,3,2,5,2,1,2,1,1,8,9.8,2024-11-29
Josh Giddey,CHI,BOS,L,24.35,2,6,0.333,0,2,0.0,0,0,0.0,1,7,8,9,3,0,3,0,4,9.7,2024-11-29
Ayo Dosunmu,CHI,BOS,L,32.0,5,11,0.455,1,4,0.25,2,2,1.0,0,1,1,5,1,0,1,4,13,9.5,2024-11-29
Toumani Camara,POR,SAC,W,32.77,4,8,0.5,1,4,0.25,2,2,1.0,1,3,4,2,0,1,0,4,11,9.1,2024-11-29
Nic Claxton,BRK,ORL,L,25.73,4,6,0.667,0,0,0.0,0,0,0.0,2,5,7,2,0,3,2,2,8,9.0,2024-11-29
KJ Simpson,CHO,NYK,L,16.38,5,10,0.5,1,5,0.2,0,0,0.0,1,0,1,2,2,1,1,2,11,9.0,2024-11-29
Nickeil Alexander-Walker,MIN,LAC,W,28.38,4,10,0.4,2,6,0.333,2,2,1.0,3,7,10,1,2,0,3,4,12,8.9,2024-11-29
Quenton Jackson,IND,DET,L,15.83,3,6,0.5,2,3,0.667,2,2,1.0,1,1,2,2,0,1,0,3,10,8.9,2024-11-29
Terry Rozier,MIA,TOR,W,24.52,4,8,0.5,4,7,0.571,0,0,0.0,2,1,3,4,0,0,2,4,12,8.9,2024-11-29
Jalen Williams,OKC,LAL,W,33.97,8,19,0.421,2,5,0.4,1,2,0.5,0,4,4,2,2,0,3,3,19,8.9,2024-11-29
Tidjane Salaün ,CHO,NYK,L,34.95,4,11,0.364,4,10,0.4,2,2,1.0,1,7,8,1,0,0,1,4,14,8.8,2024-11-29
Shaedon Sharpe,POR,SAC,W,37.48,6,15,0.4,0,6,0.0,2,3,0.667,0,4,4,5,0,0,1,1,14,8.8,2024-11-29
Jaylen Brown,BOS,CHI,W,36.83,7,21,0.333,4,10,0.4,3,4,0.75,1,1,2,4,0,0,3,2,21,8.7,2024-11-29
Torrey Craig,CHI,BOS,L,12.97,4,6,0.667,3,5,0.6,0,0,0.0,1,2,3,0,0,0,0,3,11,8.5,2024-11-29
Rudy Gobert,MIN,LAC,W,42.75,3,7,0.429,0,0,0.0,2,4,0.5,4,8,12,3,1,1,3,3,8,8.3,2024-11-29
Julius Randle,MIN,LAC,W,30.27,4,9,0.444,1,5,0.2,2,2,1.0,0,10,10,4,0,0,3,2,11,8.3,2024-11-29
Zaccharie Risacher,ATL,CLE,W,20.58,4,8,0.5,2,4,0.5,1,2,0.5,1,2,3,1,1,1,1,3,11,8.1,2024-11-29
T.J. McConnell,IND,DET,L,23.63,6,11,0.545,0,0,0.0,0,0,0.0,1,1,2,3,1,0,2,2,12,8.0,2024-11-29
Jalen Wilson,BRK,ORL,L,31.32,4,6,0.667,3,3,1.0,0,0,0.0,0,2,2,1,0,0,1,2,11,7.9,2024-11-29
Jae Crowder,SAC,POR,L,20.95,2,5,0.4,1,4,0.25,5,6,0.833,0,2,2,0,1,0,0,2,10,7.7,2024-11-29
Donte DiVincenzo,MIN,LAC,W,21.72,3,6,0.5,3,5,0.6,0,0,0.0,0,2,2,5,0,0,2,1,9,7.7,2024-11-29
Jonathan Isaac,ORL,BRK,W,19.17,2,6,0.333,1,3,0.333,3,4,0.75,0,4,4,0,2,1,0,1,8,7.7,2024-11-29
Jett Howard,ORL,BRK,W,16.22,3,6,0.5,2,4,0.5,0,0,0.0,2,0,2,0,1,0,0,0,8,7.4,2024-11-29
Brandon Miller,CHO,NYK,L,37.37,7,25,0.28,2,11,0.182,4,4,1.0,4,2,6,3,1,3,6,2,20,7.1,2024-11-29
Jonathan Mogbo,TOR,MIA,L,15.25,3,6,0.5,1,2,0.5,0,0,0.0,2,1,3,2,0,0,0,0,7,7.1,2024-11-29
Coby White,CHI,BOS,L,32.58,3,11,0.273,1,7,0.143,4,5,0.8,1,5,6,4,0,0,2,0,11,7.1,2024-11-29
Keon Ellis,SAC,POR,L,24.23,1,3,0.333,1,3,0.333,3,3,1.0,3,1,4,1,1,0,1,1,6,7.0,2024-11-29
Kevin Love,MIA,TOR,W,13.4,3,6,0.5,2,4,0.5,0,0,0.0,0,2,2,2,2,0,2,0,8,7.0,2024-11-29
Vasilije Micić,CHO,NYK,L,30.82,3,10,0.3,1,5,0.2,2,2,1.0,0,2,2,8,0,0,2,1,9,7.0,2024-11-29
Jalen Suggs,ORL,BRK,W,26.58,5,12,0.417,2,6,0.333,0,0,0.0,0,3,3,6,1,1,3,6,12,7.0,2024-11-29
Amir Coffey,LAC,MIN,L,24.32,5,10,0.5,2,4,0.5,0,0,0.0,0,0,0,1,1,0,1,2,12,6.9,2024-11-29
Myles Turner,IND,DET,L,27.8,3,8,0.375,1,3,0.333,2,2,1.0,1,9,10,2,0,1,2,3,9,6.9,2024-11-29
Brandon Clarke,MEM,NOP,W,22.47,2,4,0.5,0,0,0.0,0,0,0.0,4,7,11,2,0,1,1,3,4,6.8,2024-11-29
Naz Reid,MIN,LAC,W,22.98,3,9,0.333,1,6,0.167,1,1,1.0,0,6,6,1,1,2,1,0,8,6.8,2024-11-29
Brandon Boston,NOP,MEM,L,28.9,3,10,0.3,0,4,0.0,2,2,1.0,0,2,2,3,4,0,2,1,8,6.5,2024-11-29
Ron Holland,DET,IND,W,12.1,3,4,0.75,0,0,0.0,0,0,0.0,2,5,7,2,0,0,1,3,6,6.5,2024-11-29
LeBron James,LAL,OKC,L,33.52,5,13,0.385,0,4,0.0,2,2,1.0,0,8,8,6,0,0,5,0,12,6.5,2024-11-29
Ben Simmons,BRK,ORL,L,26.37,2,2,1.0,0,0,0.0,0,2,0.0,0,7,7,8,0,0,3,2,4,6.5,2024-11-29
Moussa Diabaté,CHO,NYK,L,37.15,3,4,0.75,0,0,0.0,0,3,0.0,5,6,11,1,0,1,2,4,6,6.3,2024-11-29
Bennedict Mathurin,IND,DET,L,35.55,6,11,0.545,3,5,0.6,1,2,0.5,0,0,0,1,0,0,4,2,16,6.2,2024-11-29
Luke Kennard,MEM,NOP,W,16.72,1,4,0.25,1,4,0.25,0,0,0.0,3,1,4,3,1,0,0,0,3,6.1,2024-11-29
Jabari Walker,POR,SAC,W,9.7,2,2,1.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,0,4,6.1,2024-11-29
Lonzo Ball,CHI,BOS,L,21.67,1,4,0.25,0,3,0.0,0,0,0.0,1,2,3,5,2,0,0,1,2,6.0,2024-11-29
Nick Smith,CHO,NYK,L,10.63,3,5,0.6,2,3,0.667,0,0,0.0,0,0,0,1,0,0,0,1,8,6.0,2024-11-29
Seth Curry,CHO,NYK,L,10.43,3,4,0.75,0,0,0.0,0,0,0.0,0,1,1,0,2,0,1,0,6,5.7,2024-11-29
Cason Wallace,OKC,LAL,W,31.13,1,5,0.2,0,3,0.0,0,0,0.0,5,0,5,2,2,1,0,2,2,5.7,2024-11-29
Trendon Watford,BRK,ORL,L,20.17,6,11,0.545,0,2,0.0,1,1,1.0,0,3,3,1,0,0,2,4,13,5.7,2024-11-29
Dyson Daniels,ATL,CLE,W,34.68,3,10,0.3,1,2,0.5,0,2,0.0,2,5,7,4,3,1,3,3,7,5.6,2024-11-29
Keon Johnson,BRK,ORL,L,27.52,6,16,0.375,3,9,0.333,0,0,0.0,2,4,6,1,2,1,5,4,15,5.6,2024-11-29
Javonte Green,NOP,MEM,L,27.6,2,4,0.5,1,3,0.333,2,2,1.0,0,2,2,0,0,1,0,2,7,5.5,2024-11-29
Duncan Robinson,MIA,TOR,W,27.53,4,11,0.364,2,9,0.222,0,0,0.0,1,1,2,2,0,0,0,2,10,5.5,2024-11-29
Aaron Wiggins,OKC,LAL,W,18.35,3,9,0.333,1,4,0.25,0,0,0.0,1,6,7,0,1,0,0,0,7,5.4,2024-11-29
Simone Fontecchio,DET,IND,W,17.1,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,2,5,5.3,2024-11-29
Bogdan Bogdanović,ATL,CLE,W,24.12,4,11,0.364,2,8,0.25,0,0,0.0,2,4,6,1,1,0,1,5,10,5.2,2024-11-29
Max Christie,LAL,OKC,L,22.92,2,3,0.667,0,1,0.0,4,4,1.0,0,1,1,0,0,0,1,2,8,5.2,2024-11-29
Caris LeVert,CLE,ATL,L,20.27,2,5,0.4,2,3,0.667,2,2,1.0,0,1,1,2,0,0,1,2,8,5.2,2024-11-29
Tim Hardaway,DET,IND,W,27.1,3,8,0.375,2,6,0.333,2,2,1.0,0,4,4,1,0,0,2,1,10,5.1,2024-11-29
Donovan Mitchell,CLE,ATL,L,35.05,5,23,0.217,2,10,0.2,0,0,0.0,2,9,11,6,2,0,2,3,12,5.0,2024-11-29
Jeremiah Robinson-Earl,NOP,MEM,L,14.08,1,2,0.5,0,1,0.0,2,2,1.0,1,2,3,0,0,1,0,0,4,5.0,2024-11-29
Jarrett Allen,CLE,ATL,L,25.25,3,3,1.0,0,0,0.0,0,0,0.0,0,5,5,0,0,0,1,2,6,4.8,2024-11-29
Kenrich Williams,OKC,LAL,W,12.0,2,5,0.4,1,3,0.333,0,0,0.0,1,4,5,0,1,0,0,1,5,4.8,2024-11-29
Desmond Bane,MEM,NOP,W,25.63,3,8,0.375,1,3,0.333,0,0,0.0,0,3,3,4,1,0,1,4,7,4.7,2024-11-29
Ty Jerome,CLE,ATL,L,17.73,3,7,0.429,0,1,0.0,1,1,1.0,0,3,3,1,3,0,2,3,7,4.7,2024-11-29
Cole Anthony,ORL,BRK,W,3.28,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,0,3,4.4,2024-11-29
Haywood Highsmith,MIA,TOR,W,26.68,2,6,0.333,2,6,0.333,0,0,0.0,2,2,4,1,2,0,1,5,6,4.3,2024-11-29
Cory Joseph,ORL,BRK,W,2.67,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,1,0,0,0,0,3,4.1,2024-11-29
Cameron Payne,NYK,CHO,W,11.18,2,5,0.4,2,4,0.5,0,0,0.0,0,3,3,1,1,0,1,2,6,4.1,2024-11-29
Jalen Smith,CHI,BOS,L,13.92,1,4,0.25,0,3,0.0,0,0,0.0,0,7,7,1,1,1,0,0,2,4.1,2024-11-29
Ausar Thompson,DET,IND,W,11.75,1,5,0.2,1,3,0.333,2,2,1.0,0,1,1,4,1,0,2,0,5,4.0,2024-11-29
Jamison Battle,TOR,MIA,L,16.73,1,5,0.2,1,5,0.2,2,2,1.0,0,2,2,1,1,0,0,1,5,3.8,2024-11-29
Ja'Kobe Walter,TOR,MIA,L,25.67,3,8,0.375,0,2,0.0,0,0,0.0,0,3,3,2,1,1,1,2,6,3.8,2024-11-29
Tyrese Martin,BRK,ORL,L,24.5,3,6,0.5,2,4,0.5,0,0,0.0,0,2,2,1,0,0,1,4,8,3.7,2024-11-29
Jaylon Tyson,CLE,ATL,L,10.95,1,1,1.0,0,0,0.0,1,2,0.5,3,0,3,0,1,0,1,2,3,3.6,2024-11-29
Johnny Furphy,IND,DET,L,5.03,1,4,0.25,0,1,0.0,0,0,0.0,1,0,1,1,1,2,0,0,2,3.4,2024-11-29
Elfrid Payton,NOP,MEM,L,14.75,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,3,0,1,1,0,2,3.4,2024-11-29
Isaiah Stewart,DET,IND,W,21.67,1,2,0.5,0,0,0.0,0,0,0.0,2,1,3,2,0,0,0,2,2,3.3,2024-11-29
Anthony Black,ORL,BRK,W,16.07,1,2,0.5,0,0,0.0,3,4,0.75,0,1,1,1,0,2,2,2,5,3.2,2024-11-29
Davion Mitchell,TOR,MIA,L,20.43,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,3,1,0,2,1,4,3.0,2024-11-29
Julian Phillips,CHI,BOS,L,6.58,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,0,1,0,5,2.7,2024-11-29
Isaac Jones,SAC,POR,L,20.02,3,6,0.5,0,1,0.0,1,3,0.333,1,3,4,0,0,0,1,3,7,2.6,2024-11-29
Jay Huff,MEM,NOP,W,16.6,3,7,0.429,1,4,0.25,0,2,0.0,1,0,1,0,0,1,1,1,7,2.5,2024-11-29
Jake LaRavia,MEM,NOP,W,13.27,1,4,0.25,1,3,0.333,0,0,0.0,1,2,3,2,0,0,0,2,3,2.5,2024-11-29
Ajay Mitchell,OKC,LAL,W,17.95,1,3,0.333,1,3,0.333,1,2,0.5,0,0,0,0,1,0,0,1,4,2.5,2024-11-29
Mikal Bridges,NYK,CHO,W,36.67,3,10,0.3,1,4,0.25,1,2,0.5,1,1,2,2,2,0,3,2,8,2.4,2024-11-29
Enrique Freeman,IND,DET,L,3.67,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,2.4,2024-11-29
Marcus Sasser,DET,IND,W,1.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,0,0,2.4,2024-11-29
Obi Toppin,IND,DET,L,25.28,1,5,0.2,0,2,0.0,3,3,1.0,0,3,3,2,0,0,1,2,5,2.4,2024-11-29
Kevin Huerter,SAC,POR,L,6.78,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,2,1,0,0,0,1,2.3,2024-11-29
Colby Jones,SAC,POR,L,3.08,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,1,1,2,2.3,2024-11-29
Sam Merrill,CLE,ATL,L,19.9,2,7,0.286,2,7,0.286,1,2,0.5,0,0,0,1,0,0,0,3,7,2.0,2024-11-29
Dalen Terry,CHI,BOS,L,7.98,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,2.0,2024-11-29
Jordan McLaughlin,SAC,POR,L,12.25,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,1,1,0,1,1,2,1.9,2024-11-29
Austin Reaves,LAL,OKC,L,29.18,3,11,0.273,1,9,0.111,4,5,0.8,1,4,5,3,0,0,5,3,11,1.9,2024-11-29
Terance Mann,LAC,MIN,L,19.87,1,5,0.2,0,2,0.0,0,0,0.0,0,0,0,1,3,0,0,2,2,1.8,2024-11-29
Sam Hauser,BOS,CHI,W,21.98,1,5,0.2,1,5,0.2,0,0,0.0,0,3,3,1,2,0,1,2,3,1.7,2024-11-29
Neemias Queta,BOS,CHI,W,6.58,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,1.7,2024-11-29
Jamal Shead,TOR,MIA,L,7.43,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,1,0,1.7,2024-11-29
Kobe Bufkin,ATL,CLE,W,13.32,0,3,0.0,0,2,0.0,2,2,1.0,0,0,0,3,1,0,1,1,2,1.6,2024-11-29
Matas Buzelis,CHI,BOS,L,4.95,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,1.6,2024-11-29
Derrick Jones,LAC,MIN,L,23.97,3,8,0.375,0,2,0.0,0,0,0.0,1,0,1,0,2,0,2,2,6,1.5,2024-11-29
Scotty Pippen ,MEM,NOP,W,13.53,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,4,1,0,1,4,2,1.4,2024-11-29
Pelle Larsson,MIA,TOR,W,17.77,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,5,5,1.3,2024-11-29
Doug McDermott,SAC,POR,L,7.77,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,1.3,2024-11-29
Alec Burks,MIA,TOR,W,6.57,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,1.2,2024-11-29
Gabe Vincent,LAL,OKC,L,14.57,1,1,1.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,2,2,0.8,2024-11-29
Chris Boucher,TOR,MIA,L,12.62,1,5,0.2,1,3,0.333,0,0,0.0,1,5,6,2,0,0,2,2,3,0.7,2024-11-29
Kris Dunn,LAC,MIN,L,27.37,0,5,0.0,0,2,0.0,2,2,1.0,1,6,7,0,1,1,2,0,2,0.7,2024-11-29
Jordan Miller,LAC,MIN,L,11.25,1,5,0.2,0,1,0.0,1,2,0.5,0,3,3,1,0,0,0,1,3,0.7,2024-11-29
Moritz Wagner,ORL,BRK,W,16.3,1,4,0.25,0,1,0.0,1,2,0.5,0,5,5,1,1,1,3,1,3,0.7,2024-11-29
Taj Gibson,CHO,NYK,L,10.87,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,0.6,2024-11-29
Daniel Theis,NOP,MEM,L,16.58,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,1,0,1,3,0,0.4,2024-11-29
Ziaire Williams,BRK,ORL,L,20.57,1,7,0.143,1,2,0.5,2,2,1.0,0,3,3,0,0,0,1,0,5,0.4,2024-11-29
Mohamed Bamba,LAC,MIN,L,14.25,1,5,0.2,0,2,0.0,0,0,0.0,0,0,0,1,0,2,0,2,2,0.2,2024-11-29
Branden Carlson,OKC,LAL,W,0.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-29
Vit Krejci,ATL,CLE,W,0.85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-29
Garrison Mathews,ATL,CLE,W,0.85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-29
Craig Porter,CLE,ATL,L,2.23,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-29
David Roddy,ATL,CLE,W,0.85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-29
Jericho Sims,NYK,CHO,W,8.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-29
Al Horford,BOS,CHI,W,25.45,1,6,0.167,0,3,0.0,0,0,0.0,0,1,1,3,0,0,0,2,2,-0.2,2024-11-29
Keegan Murray,SAC,POR,L,29.4,1,9,0.111,1,6,0.167,0,0,0.0,2,4,6,0,1,1,1,2,3,-0.4,2024-11-29
Duop Reath,POR,SAC,W,2.77,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2024-11-29
Orlando Robinson,SAC,POR,L,2.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2024-11-29
Georges Niang,CLE,ATL,L,20.48,1,6,0.167,0,4,0.0,1,2,0.5,0,1,1,2,0,0,1,0,3,-0.5,2024-11-29
Kris Murray,POR,SAC,W,15.68,1,4,0.25,0,2,0.0,0,0,0.0,2,1,3,1,0,0,1,4,2,-0.6,2024-11-29
Moses Brown,IND,DET,L,4.6,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,0,0,-0.7,2024-11-29
Dillon Jones,OKC,LAL,W,4.25,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-11-29
OG Anunoby,NYK,CHO,W,39.53,3,11,0.273,0,4,0.0,2,2,1.0,1,3,4,0,0,2,4,4,8,-1.1,2024-11-29
